iter	Passed	Remaining
0	0	23
1	0	22
2	0	21
3	0	20
4	1	19
5	1	19
6	1	19
7	1	19
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	2	18
14	3	17
15	3	18
16	3	17
17	3	17
18	4	17
19	4	17
20	4	17
21	4	17
22	5	17
23	5	16
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	15
31	7	15
32	7	14
33	7	14
34	7	14
35	7	14
36	8	13
37	8	13
38	8	13
39	9	13
40	9	13
41	9	12
42	9	12
43	9	12
44	10	12
45	10	12
46	10	11
47	10	11
48	11	11
49	11	11
50	11	11
51	11	10
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	13	8
61	14	8
62	14	8
63	14	8
64	14	8
65	15	7
66	15	7
67	15	7
68	15	7
69	15	6
70	16	6
71	16	6
72	16	6
73	16	5
74	16	5
75	17	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	18	3
85	19	3
86	19	2
87	19	2
88	19	2
89	20	2
90	20	2
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	22	0
98	22	0
99	22	0
