iter	Passed	Remaining
0	55	55817
1	56	27993
2	56	18716
3	56	14078
4	56	11299
5	57	9447
6	57	8122
7	57	7126
8	57	6351
9	57	5731
10	58	5225
11	58	4803
12	58	4445
13	58	4139
14	59	3874
15	59	3642
16	59	3438
17	59	3256
18	59	3092
19	60	2945
20	60	2812
21	60	2691
22	60	2580
23	60	2479
24	61	2387
25	61	2301
26	61	2221
27	61	2147
28	62	2082
29	62	2018
30	62	1958
31	62	1902
32	63	1848
33	63	1798
34	63	1750
35	63	1706
36	63	1664
37	64	1624
38	64	1586
39	64	1550
40	64	1516
41	65	1483
42	65	1452
43	65	1422
44	65	1394
45	65	1366
46	66	1340
47	66	1315
48	66	1291
49	66	1268
50	67	1247
51	67	1225
52	67	1205
53	67	1185
54	67	1166
55	68	1148
56	68	1130
57	68	1113
58	68	1096
59	68	1080
60	69	1064
61	69	1049
62	69	1034
63	69	1020
64	70	1007
65	70	993
66	70	981
67	70	968
68	70	956
69	71	944
70	71	932
71	71	921
72	71	910
73	71	899
74	72	889
75	72	878
76	72	869
77	72	859
78	72	850
79	73	840
80	73	831
81	73	822
82	73	812
83	73	804
84	73	796
85	74	788
86	74	780
87	74	772
88	74	765
89	74	758
90	75	751
91	75	744
92	75	737
93	75	731
94	76	724
95	76	718
96	76	711
97	76	705
98	76	699
99	77	693
100	77	687
101	77	681
102	77	676
103	77	670
104	78	665
105	78	660
106	78	655
107	78	650
108	79	646
109	79	641
110	79	636
111	79	632
112	80	628
113	80	624
114	80	619
115	80	615
116	80	610
117	81	605
118	81	601
119	81	597
120	81	592
121	81	588
122	81	584
123	82	580
124	82	576
125	82	572
126	82	568
127	82	564
128	83	561
129	83	557
130	83	553
131	83	550
132	83	546
133	84	543
134	84	540
135	84	536
136	84	533
137	84	530
138	85	527
139	85	523
140	85	520
141	85	517
142	85	514
143	86	511
144	86	508
145	86	505
146	86	502
147	86	499
148	86	496
149	87	494
150	87	491
151	87	488
152	87	485
153	87	483
154	88	480
155	88	477
156	88	475
157	88	472
158	88	470
159	89	467
160	89	464
161	89	462
162	89	460
163	89	457
164	90	455
165	90	453
166	90	450
167	90	448
168	90	446
169	90	444
170	91	442
171	91	439
172	91	437
173	91	435
174	91	433
175	92	431
176	92	429
177	92	428
178	92	426
179	93	424
180	93	422
181	93	420
182	93	418
183	94	417
184	94	415
185	94	414
186	95	413
187	95	411
188	95	409
189	95	407
190	95	406
191	96	404
192	96	402
193	96	401
194	96	399
195	96	397
196	97	396
197	97	394
198	97	392
199	97	390
200	97	389
201	98	387
202	98	386
203	98	384
204	98	382
205	98	381
206	99	379
207	99	378
208	99	376
209	99	375
210	99	373
211	100	372
212	100	370
213	100	369
214	100	368
215	100	366
216	101	365
217	101	363
218	101	362
219	101	360
220	101	359
221	102	358
222	102	356
223	102	355
224	102	354
225	103	352
226	103	351
227	103	350
228	103	348
229	103	347
230	104	346
231	104	345
232	104	343
233	104	342
234	104	341
235	105	340
236	105	339
237	105	337
238	105	336
239	105	335
240	106	334
241	106	332
242	106	331
243	106	330
244	106	329
245	107	328
246	107	327
247	107	325
248	107	324
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	314
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	113	296
276	113	295
277	113	294
278	113	293
279	113	292
280	114	291
281	114	290
282	114	289
283	114	289
284	114	288
285	115	287
286	115	286
287	115	285
288	115	284
289	115	283
290	116	282
291	116	281
292	116	281
293	116	280
294	116	279
295	117	278
296	117	277
297	117	276
298	117	275
299	117	275
300	118	274
